title,director,cast,country,subgenre
28 Years Later,Danny Boyle,"Alfie Williams , Aaron Taylor-Johnson , Jodie Comer , Ralph Fiennes , Jack O'Connell , Erin Kellyman",United Kingdom United States,Post-apocalyptic horror
213 Bones,Jeffrey Primm,"Colin Egglesfield , Dean Cameron , Liam Woodrum",United States,"Horror, Slasher"
825 Forest Road,Stephen Cognetti,"Elizabeth Vermilyea, Kathryn Miller, Joe Bandelli, Joe Falcone, Madeleine Garcia, Brian Anthony Wilson",United States,Supernatural Horror
Abraham's Boys,Natasha Kermani,"Titus Welliver , Jocelin Donahue , Judah Mackey, Aurora Perrineau , Brady Hepner",United States,Horror
Alpha,Julia Ducournau,"Tahar Rahim , Golshifteh Farahani , Mélissa Boros","France, Belgium",Body Horror
Amityville VR,Matt Jaissle,"Lien Mya Nguyen Oost, Rudy Ledbetter, Jeffrey Hylton",United States,Horror
Anaconda,Tom Gormican,"Jack Black , Paul Rudd",United States,Comedy horror
Appofeniacs,Chris Marrs Piliero,"Aaron Holliday, Jermaine Fowler , Sean Gunn",United States,"Horror , Slasher"
Ash,Flying Lotus,"Eiza González , Aaron Paul , Iko Uwais , Beulah Koale , Kate Elliott , Flying Lotus",United States,Science fiction Horror
Attack 13,Taweewat Wantha,"Korranid Laosubinprasoet , Veerinsara Tangkitsuvanich, Nichapalak Thongkham",Thailand,Horror
Baramulla,Aditya Suhas Jambhale,Manav Kaul Bhasha Sumbli,India,Supernatural Horror
Bambi: The Reckoning,Dan Allen,"Roxanne McKee , Nicola Wright, Tom Mulheron, Samira Mighty",United Kingdom,Slasher
Beast of War,Kiah Roache-Turner,"Mark Coles Smith , Joel Nankervis, Sam Delich , Lee Tiger Halley",Australia,Monster Horror
Beheading,Sok Leng,"Sahrah Pich Manika, Keo Bora, Soriya Khon",Cambodia,Horror Thriller
Bitter Souls,Tom Ryan,"Avaryana Rose, Destiny Leilani Brown, Michael Hargrove, Michael McKeever",United States,Supernatural Horror
Black Phone 2,Scott Derrickson,"Mason Thames , Madeleine McGraw , Ethan Hawke , Jeremy Davies , Miguel Cazarez Mora",United States,Supernatural horror
Bloat,Pablo Absento,"Ben McKenzie , Bojana Novakovic , Sawyer Jones, Malcolm Fuller, Kane Kosugi","United States, Japan, France",Screenlife Horror
Bone Face,Michael Donovan Horn,"Elena Sanchez, Jeremy London , Alli Hart",United States,Horror Thriller Mystery
Bone Lake,Mercedes Bryce Morgan,"Maddie Hasson , Alex Roe , Andra Nechita, Marco Pigossi",United States,Horror Thriller
Borderline,Jimmy Warden,"Samara Weaving , Ray Nicholson , Jimmie Fails , Alba Baptista , Eric Dane",United States,Home invasion Comedy thriller
Borley Rectory: The Awakening,Steven M. Smith,"Julian Glover , Patsy Kensit , Helen Lederer",United Kingdom,Supernatural Horror Mystery
Bring Her Back,Danny and Michael Philippou,"Sally Hawkins , Billy Barratt , Jonah Wren Phillips, Sally-Anne Upton, Stephen Phillips, Sora Wong, Liam Damons",Australia,Horror
Call of the Dead,Dyan Sunu Prastowo,"Nirina Zubir , Nugie, Mutia Datau",Indonesia,Folk Horror
Chainsaw Man The Movie: Reze Arc,Tatsuya Yoshihara,"Kikunosuke Toya , Reina Ueda , Fairouz Ai , Tomori Kusunoki , Shogo Sakata",Japan,"Dark Fantasy, Horror Comedy"
Chhorii 2,Vishal Furia,"Nushrratt Bharuccha , Soha Ali Khan , Gashmeer Mahajani",India,Horror
Clown in a Cornfield,Eli Craig,"Katie Douglas , Kevin Durand , Will Sasso , Cassandra Potenza, Aaron Abrams",United States,Slasher Horror
Companion,Drew Hancock,"Jack Quaid , Harvey Guillén , Lukas Gage , Megan Suri , Sophie Thatcher , Rupert Friend",United States,Sci-fi horror
C.O.G.,Tommy Savas,"Piper Curda , Josh Zuckerman , Noel Fisher",United States,Sci-fi thriller
Coyotes,Colin Minihan,"Justin Long , Kate Bosworth , Mila Harris, Katherine McNamara , Brittany Allen , Keir O'Donnell , Norbert Leo Butz",United States,Comedy horror Thriller
